Using device: cuda
Path to dataset files: /home/airhust/.cache/kagglehub/datasets/sumanthvrao/daily-climate-time-series-data/versions/3
Train samples: 1448, Test samples: 100
Epoch 441 | train MSE 0.0135 | test MSE 0.3293
Epoch 442 | train MSE 0.0130 | test MSE 0.3527
Epoch 443 | train MSE 0.0131 | test MSE 0.3394
Epoch 444 | train MSE 0.0134 | test MSE 0.3371
Epoch 445 | train MSE 0.0129 | test MSE 0.3309
Epoch 446 | train MSE 0.0118 | test MSE 0.3388
Epoch 447 | train MSE 0.0116 | test MSE 0.3400
Epoch 448 | train MSE 0.0110 | test MSE 0.3444
Epoch 449 | train MSE 0.0111 | test MSE 0.3400
Epoch 450 | train MSE 0.0113 | test MSE 0.3571
Epoch 451 | train MSE 0.0118 | test MSE 0.3467
Epoch 452 | train MSE 0.0115 | test MSE 0.3270
Epoch 453 | train MSE 0.0112 | test MSE 0.3413
Epoch 454 | train MSE 0.0112 | test MSE 0.3381
Epoch 455 | train MSE 0.0114 | test MSE 0.3227
Epoch 456 | train MSE 0.0112 | test MSE 0.3509
Epoch 457 | train MSE 0.0110 | test MSE 0.3408
Epoch 458 | train MSE 0.0115 | test MSE 0.3307
Epoch 459 | train MSE 0.0115 | test MSE 0.3547
Epoch 460 | train MSE 0.0116 | test MSE 0.3398
Epoch 461 | train MSE 0.0115 | test MSE 0.3396
Epoch 462 | train MSE 0.0102 | test MSE 0.3376
Epoch 463 | train MSE 0.0114 | test MSE 0.3420
Epoch 464 | train MSE 0.0109 | test MSE 0.3470
Epoch 465 | train MSE 0.0105 | test MSE 0.3284
Epoch 466 | train MSE 0.0107 | test MSE 0.3438
Epoch 467 | train MSE 0.0108 | test MSE 0.3568
Epoch 468 | train MSE 0.0109 | test MSE 0.3204
Epoch 469 | train MSE 0.0109 | test MSE 0.3402
Epoch 470 | train MSE 0.0107 | test MSE 0.3452
Epoch 471 | train MSE 0.0103 | test MSE 0.3408
